LEGEND:,Total Number of Occurences,"Collection Forms Field Counts & Category Comparison
Last Updated: 2020-07-16",,,,,,,,Key:
,,,,,,,,,,1
,,,,,,,,,,2
N/A,,,,,,,,,,3
Term(s) in Multiple Categories [counts may differ due to context],,,,,,,,,,4
,,,,,,,,,,5
"* see note for details, - Inherited from subterm",,,,,,,,,,6
fr. French translation,,,,,,,,,,7
Overlap TBD,,Interm Report,BC,MA,NB,NWT,ON,QC,WHO,8
,,"Case Details (CD), Exposures (E)","Risk Factors (RF), Exposures (E), Transmission (T)","Risk Factor Information/Underlying Illness (RFI/UI), Acquisition Exposures (AE)","Priority Group (PG), Patient Information (PI), Assessment Details (AD), Assessment Details Risk Factors (ADRF)","Patient Setting (PS), Social Risk Factor (SRF), Pre-existing Conditions (PC), Pre-exisiting Conditions and Risk Factors (PCRF)","Administrative Information (AI), Client Record Demographic Information (CRDI), Exposures (E), Risk Factors (RF), Occupational / Residential (OR)","Case Investigation (CI), Contact Survey (CS), Exposure and Occupation (EO), Patient Living Environment Information (PLEI), Pre-Existing Medical Conditions and Risk Factors (PMCRF), ","Clinical Status (CS), Underlying Conditions and Comorbidity (UCC), Exposure Risk... (ER)","Wordings, Synonyms, Context, Narrower Terms (Brackets indicate # of unique occurences)"
Collection Form Version Information →,,"PHAC - Coronavirus Disease (COVID-19) Case Report Form [version 2 Last updated March 3, 2020]","BC CDC - COVID-19 Case Report Form [Version Date: April 20, 2020]",MHSU-6683 COVID-19 Case Investigation Form [2020-05-05],NB - COVID-19 Combined Referral and Lab Requisition Form [V5 2020-04-09],"NWT - COVID-19 Report Form (Suspect Case/Person Under Investigation) Part A [Updated: April 27, 2020]","ON - (Appendix 1) Ontario's SARI Case Report Form [April 15, 2020 version 7.0]",QC - Questionnaire d'enquete des cas de Coronavirus COVID-10 [version du: 2 avril 2020],WHO - Revised case report form for confirmed Novel Coronavirus COVID-10 [WHO/2019-nCoV/SurveillanceCRF/2020.2],
,,,,,,"NWT COVID-19 Report Form (For All Cases) Part B [Updated: April 27, 2020]",,QC - Declaration des cas confirmes et des cas cliniques de COVID-19 20-210-103W [2020],,
,,,,,,,,,,
