LEGEND:,"Collection Forms Field Counts & Category Comparison
Last Updated: 2020-07-16",,,,,,,
Term(s) in Multiple Categories,,,,,,,,
[check] Term Counted Multiple Categories,,,,,,,,
Term Not in Category or Repeated within Category (listed for organizating purposes),,,,,,,,
Overlap with Exposures,Interm Report,BC,MA,NB,NWT,ON,QC,WHO
Collection Form Version Information →,"PHAC - Coronavirus Disease (COVID-19) Case Report Form [version 2 Last updated March 3, 2020]","BC CDC - COVID-19 Case Report Form [Version Date: April 20, 2020]",MHSU-6683 COVID-19 Case Investigation Form [2020-05-05],NB - COVID-19 Combined Referral and Lab Requisition Form [V5 2020-04-09],"NWT - COVID-19 Report Form (Suspect Case/Person Under Investigation) Part A [Updated: April 27, 2020]","ON - (Appendix 1) Ontario's SARI Case Report Form [April 15, 2020 version 7.0]",QC - Questionnaire d'enquete des cas de Coronavirus COVID-10 [version du: 2 avril 2020],WHO - Revised case report form for confirmed Novel Coronavirus COVID-10 [WHO/2019-nCoV/SurveillanceCRF/2020.2]
,,,,,"NWT COVID-19 Report Form (For All Cases) Part B [Updated: April 27, 2020]",,QC - Declaration des cas confirmes et des cas cliniques de COVID-19 20-210-103W [2020],
Signs & Symptoms (SS),Symptoms (S),Signs and Symptoms (SS),Signs and Symptoms (SS),Symptoms (S) [Assessment Details],Signs & Symptoms (SS) / Symptom (S) [Clinical Information (CI)] ,Symptom (S) [Clinical Information (CI)],Symptoms (S),-
Abnormal lung auscultation,(CECD),(CECD),,,TRUE,,(PERF),
Altered Mental Status,(CECD),(CECD),-,,TRUE,,(PERF),
"   Confusion, Altered Mental State",-,-,TRUE,,-,,,
      Confusion,,TRUE,-,,,,,
   Irritability/Confusion,TRUE,-,-,,,,TRUE,
      Confusion,,TRUE,-,,,,,
      Irritability,,TRUE,,,,,,
Anorexia/decreased appetite,,,,,,TRUE,,
Diagnosed with Acute Respiratory Distress Syndrome,(CECD),-,-,,-,(CECD),(PERF),
   Acute Respiratory Distress Syndrome,,TRUE,TRUE,,TRUE,,,
Anosmia,,,,,TRUE,,,
"   Brutal anosmia without nasal obstruction, with or without ageusia",,,,,,,TRUE,
Clinical or radiological evidence of pneumonia,(CECD),,-,,TRUE,(CECD),(PERF),
   Pneumonia,-,,(CECD),,-,TRUE,,
Coma,(CECD),TRUE,,,TRUE,,(PERF),
Conjunctivitis,-,TRUE,,,-,TRUE,,
   Conjunctival injection,(CECD),,,,TRUE,,(PERF),
Coryza,,,,TRUE,,,,
Cough,TRUE,TRUE,-,-,TRUE,TRUE,TRUE,
"   Cough, Dry",,,TRUE,,,,,
"   Cough, Productive",,,TRUE,,,,,
   New onset/exacerbation of chronic cough,,,,TRUE,,,,
Diarrhea/Nausea/Vomiting,-,-,-,,-,,-,
   Diarrhea,TRUE,TRUE,TRUE,,-,TRUE,TRUE,
      Diarrhea/Vomiting,,,,,TRUE,TRUE,,
   Nausea/Vomiting,TRUE,-,-,,,-,TRUE,
      Nausea,,TRUE,,,,TRUE,,
      Vomiting,,TRUE,TRUE,,TRUE,TRUE,,
Dizziness,,,,,,TRUE,,
Dyspnea,-,-,-,,TRUE,-,-,
   Shortness of breath/difficulty breathing,TRUE,-,-,,-,TRUE,-,
   Shortness of breath / breathing difficulty,-,TRUE,-,,-,-,TRUE,
   Shortness of breath,-,-,TRUE,,-,-,-,
Encephalitis,(CECD),TRUE,TRUE,,TRUE,(CE),(PERF),
Fatigue,,,,,TRUE,-,,
