"Canadian National, Provincial, and Territorial COVID-19 Case Report Forms - Common Fields",,,
LAST UPDATE: 2020-07-20,,,
Field Name,Number of Common Fields ,Comments (For Number of Common Field),Key
Case Protected Information,,,
CASE Information,,,
First name,7,"(Includes NWT, which has general field ""Name"".As Name itself includes first/middle/last name.",7  Max Value       Dark Green
Middle name,2,"(Includes NWT, which has general field ""Name"".","6   Just Below Max Value   Light Green"
Last name,7,(Includes NWT),5   Just Above Mid Value    Light Yellow
Alternate name(s),1,,4   Mid Value                      Yellow
Usual residential address,6,,3   Min Value                        Red
City,6,,2   Min Value                        Red
Province/Territory,4,,1   Min Value                        Red
Canada,1,,
Postal code,6,,
Local Health Region,3,,
Phone number #1,7,Updated 2020-07-20,
Phone number #2,4,Updated 2020-07-20,
Phone number #3,1,Updated 2020-07-20,
Email,3,Updated 2020-07-20,
Date of Birth,7,,
Racial/Ethnic Identity (Voluntary/Self-Reported),1,,
Health Insurance Number,1,,
Health Card Number,3,Updated 2020-07-20,
Alternate ID (Spcify Type),1,Updated 2020-07-20,
Registration Number,1,(Probably missing value),
Preferred Language,1,,
Local Case ID,3,"For now, I've included the info in Column E, British Columbia, which needs to review. ",
P/T Case ID,3,"Includes the info from British Columbia, which might need a review (that If we should consider it in this field). ",
Primary Care Provider,3,,
PCP Phone,1,,
PCP Location,1,,
Immediate Family Members,1,,
iPHIS Case ID:,1,,
Responsible Health Unit,1,,
Branch office:,1,,
Diagnosing Health Unit,1,,
14 day follow-up,1,Updated 2020-07-20,
"CASE DETAILS: DISEASE / AETIOLOGIC 
AGENT / SUBTYPE",1,,
Proxy Information,,,
Is respondent a proxy?,3,(Included British columbia),
Last name,3,,
First name,4,,
Relationship to case,4,,
Phone number #1,2,,
Phone number #2,2,,
Phone number (Residential),1,,
Phone number (Mobile),1,,
"Phone number (Work, Ext.)",1,,
Email address,1,,
Source(s) of information,1,,
Contact information for person reporting,,,
Declarant Type,1,,
First and Last Names,7,,
Telephone #,6,,
Email,3,,
Fax #,1,,
Health Authority,2,,
Establishment/Clinic Name where patient consulted,3,,
Establishment/Clinic City,2,,
