"Canadian National, Provincial, and Territorial COVID-19 Case Report Forms - Most Common Fields",,,
LAST UPDATE: 2020-07-20,,,
Field Name,Number of Common Fields ,Comments (For Number of Common Field,Key
Case Protected Information,4-7 Occurrences,,
CASE Information,,,
First name,7,"(Includes NWT, which has general field ""Name"".As Name itself includes first/middle/last name.",7  Max Value       Dark Green
Last name,7,(Includes NWT),"6   Just Below Max Value   Light Green"
Date of Birth,7,,5   Just Above Mid Value    Light Yellow
Phone number #1,7,Updated 2020-07-20,4   Mid Value                      Yellow
Usual residential address,6,,
City,6,,
Postal code,6,,
Province/Territory,4,,
Phone number #2,4,Updated 2020-07-20,
Proxy Information,,,
First name,4,,
Relationship to case,4,,
Contact information for person reporting,,,
First and Last Names,7,,
Telephone #,6,,
Main Form,,,
Reported Date,6,,
Administrative Information,,,
(Report Status),5,"(Includes NWT) Need a review, its bit unclear.",
Contact information for P/T person reporting,,,
Case Details,,,
Gender,7,(Though there is an inconsistency in the option every province gives),
Does the case identify as Indigenous?,5,"(Have excluded Quebec, as it says Vulnerable, which is already added in Vulnerable group field. 
Updated 2020-07-20",
"If yes, indicate which group",5,Updated 2020-07-20,
Healthcare worker,5,Updated 2020-07-20,
Age ,4,,
Does the case reside on a First Nations Reserve most of the time?,4,,
Case is (professional role),4,Updated 2020-07-20,
"if yes,",4,,
Symptoms,,,
Symptom Onset Date,7,(Date Format inconsistent),
Asymptomatic,5,Updated 2020-07-20,
Symptom,,,
Cough,7,Updated 2020-07-20,
Fever (≥38°C),7,,
Sore throat,7,Updated 2020-07-20,
Headache,7,Updated 2020-07-20,
Runny nose,6,"(Includes Ontario & NWT, which have field names ""Rhinnohea"" instead of runny nose
Updated 2020-07-20",
Shortness of breath/difficulty breathing,6,,
Nausea/vomiting,6,Updated 2020-07-20,
Diarrhea,6,Updated 2020-07-20,
"Other, specify",5,,
Feverish/chills (temperature not taken),5,Updated 2020-07-20,
General weakness,5,Updated 2020-07-20,
"Pain (muscular, chest, abdominal, joint, etc.)",4,,
Myalgia (muscle pain),4,,
Irritability/confusion,4,Updated 2020-07-20,
PRE-EXISTING CONDITIONS and RISK FACTORS,,,
Cardiac disease,7,Updated 2020-07-20,
Diabetes,7,Updated 2020-07-20,
Pregnancy,7,Updated 2020-07-20,
Respiratory Disease,7,Updated 2020-11-08,
Chronic neurological or neuromuscular disorder,6,Updated 2020-07-20,
Immunodeficiency disease/condition,6,Updated 2020-07-20,
Liver Disease,6,Updated 2020-07-20,
Renal Disease,6,Updated 2020-07-20,
